"","Company","Address1","City","State","lat","long"
"1","Akins Construction, Inc.","42315 Yearego Dr","Sterling Heights","MI",42.603863,-83.034966
"2","Huntington Humidor","8 New St","Huntington","NY",40.8707,-73.42734
"3","Elmwood Park Water Reservoir","7418 W Fullerton Ave","Elmwood Park","IL",41.92341,-87.812065
"4","The Art Of Living Foundation","127 W 25Th St Fl 3","New York","NY",40.74456,-73.992744
"5","The Compounding Pharmacy Of Green","4016 Massillon Rd Ste B","Uniontown","OH",40.95251,-81.46585
"6","Christie Clinic, Llc","101 W University Ave","Champaign","IL",40.1163,-88.24365
"7","Vitamin World Usa Corporation","90 Orville Dr","Bohemia","NY",40.77502,-73.10178
"8","B D Diagnostic Systems","250 Schilling Cir","Hunt Valley","MD",39.489475,-76.66412
"9","Flower One","8296 Sherwick Ct","Jessup","MD",39.14886,-76.79713
"10","Hvl Inc","7888 New Holland Way","Boynton Beach","FL",26.491255,-80.16992
"11","Petcarerx , Inc.","52 Merton Ave.","Lynbrook","NY",40.655746,-73.6578
"12","Beverage Center Associates Inc","187 N Hamilton St","Poughkeepsie","NY",41.712006,-73.92018
"13","Greenlane","1095 Broken Sound Pkwy. Nw Suite 300","Boca Raton","FL",26.400381,-80.11186
"14","Petcarerx, Inc.","52 Merton Ave","Lynbrook","NY",40.655746,-73.6578
"15","Christie Clinic, P.C.","101 W University Ave","Champaign","IL",40.1163,-88.24365
"16","Med Shoppe Pc","6605 Rosemont Dr","Saginaw","MI",43.448406,-84.04653
"17","American Society Of Anesthesiologists","1061 American Lane","Schaumburg","IL",42.04777,-88.054085
"18","Hi-Health Supermart Corporation","4881 N 20Th St","Phoenix","AZ",33.40199,-112.03852
"19","Levelup Inc.","22870 Huron River Drive","Rockwood","MI",42.071938,-83.25461
"20","Smokin Joes","2293 Saunders Settlement Rd.","Sanborn","NY",43.143234,-78.922775
"21","Mckesson Patient Relationship Solutions (Mprs)","4343 N Scottsdale Rd Ste 150","Scottsdale","AZ",33.499294,-111.92609
"22","Loveland Rx","4092 E 14 Mile Rd Ste 200","Warren","MI",42.53546,-83.06744
"23","County Of Orange, Florida","400 E South St Fl 4","Orlando","FL",28.538338,-81.38409
"24","Gar Wood Securities, Llc","440 S La Salle St Ste 2201","Chicago","IL",41.87636,-87.63176
"25","Naval Hospital Jacksonville","2080 Child Street","Jacksonville","FL",30.22404,-81.6933
"26","Chelsea Pediatric Center P.C.","1513 S Main St","Chelsea","MI",42.302242,-84.022835
"27","22Nd Century Technologies Inc.","220 Davidson Ave Ste 118","Somerset","NJ",40.536808,-74.52419
"28","Hometown Pharmacy","3001 W M 20","New Era","MI",43.569855,-86.35587
"29","Nutrition 21, Llc","1 Manhattanville Rd","Purchase","NY",41.025074,-73.71622
"30","Hi-Health Corporation","7428 E Karen Dr","Scottsdale","AZ",33.62418,-111.91727
"31","Bell Flavors Fragrances, Inc.","500 Academy Dr","Northbrook","IL",42.14448,-87.85683
"32","County Of Morton","210 2Nd Ave Nw Fl 2","Mandan","ND",46.82724,-100.893005
"33","Miller'S Pharmacy & Gifts","101 S Broad St","Kalida","OH",40.982918,-84.200096
"34","Diamond Packaging, Inc.","111 Commerce Dr","Rochester","NY",43.080784,-77.64692
"35","22Nd Century, Group., Inc","8201 Main Street","Williamsville","NY",42.965057,-78.68919
"36","The Drug Store Pharmacy Inc","2940 Groveport Rd","Columbus","OH",39.904114,-82.966064
"37","Americanchecked Inc.","4870 S Lewis Ave Ste 120","Tulsa","OK",36.09224,-95.95797
"38","Greenbelt Consumer Cooperative","121 Centerway","Greenbelt","MD",39.000473,-76.87712
"39","Rupal Enterprises Inc","1224 Middle Country Rd","Selden","NY",40.862755,-73.05518
"40","Hillcrest Pharmacy, Inc.","1601 Main St","Woodward","OK",36.43597,-99.39967
"41","Larry Dye","1135 Oakleaf Rd","Sardinia","OH",39.024746,-83.83398
"42","Perdomocigars","5150 Nw 167Th St","Hialeah","FL",25.924925,-80.2842
"43","Jcs Controls, Inc.","172 Metro Park","Rochester","NY",43.097332,-77.622086
"44","Forum Extended Care Services","7440 Frontage Rd","Skokie","IL",42.016903,-87.7609
"45","Huntington Humidor","8 New St","Huntington","NY",40.8707,-73.42734
"46","Nutricap Labs","70 Carolyn Blvd","Farmingdale","NY",40.717415,-73.42178
"47","Electric Vapor Cigarettes Llc","4195 Southside Blvd Ste 101","Jacksonville","FL",30.271814,-81.559
"48","Capital Health Regional Medical Center","750 Brunswick Ave","Trenton","NJ",40.236065,-74.75274
"49","Nutrascience Labs, Inc.","70 Carolyn Blvd","Farmingdale","NY",40.717415,-73.42178
"50","Now Foods, Inc.","244 Knollwood Drive, Suite 300","Bloomingdale","IL",41.94258,-88.11535
"51","Comedy Partners","345 Hudson St Fl 9","New York","NY",40.72751,-74.0073
"52","Altria, Group., Inc.","120 Park Ave.","New York","NY",40.75153,-73.97812
"53","Perdomocigars","5150 Nw 167Th St","Hialeah","FL",25.924925,-80.2842
"54","Battelle Memorial Institute","505 King Avenue","Columbus","OH",39.990616,-83.01885
"55","Compasionate Care Foundation Inc.","100 Century Dr","Egg Harbor Township","NJ",39.41881,-74.55504
"56","Eden Enterprises, Inc.","7405 N Oak Park Ave","Niles","IL",42.014915,-87.79392
"57","Gilbert Street Unit 1","132 West 31St Street","New York","NY",40.74828,-73.99009
"58","Battelle Memorial Institute","505 King Ave","Columbus","OH",39.990616,-83.01885
"59","Walgreens Boots Alliance Inc","108 Wilmot Rd","Deerfield","IL",42.156742,-87.86737
"60","Smokin Pipes","2254 Gulf To Bay Blvd","Clearwater","FL",27.960535,-82.744095
"61","Albea Cosmetics America Incorporated","190 Motor Pkwy","Hauppauge","NY",40.807556,-73.24392
"62","Tobacco Technology, Inc.","600 Liberty Rd","Eldersburg","MD",39.41138,-76.97566
"63","Nabis","1040 Main St","Paterson","NJ",40.89268,-74.15761
"64","Apogee Technology, Inc.","170 Veterans Blvd","South Haven","MI",42.407703,-86.24468
